user_id,days_since_last_activity,engagement_score,returned_in_30d,renewed_subscription,low_activity_flag,churn_reason,churn_date
user_000045,13,26.69,False,False,True,Too expensive,2025-02-01
user_000046,11,0.98,False,True,True,Low usage,2025-03-16
user_000047,-12,34.41,False,True,False,Technical issues,2025-02-16
user_000048,7,46.84,False,True,False,Low usage,2025-03-29
user_000049,41,75.54,False,False,False,Too expensive,2025-03-24
user_000050,42,26.04,False,True,False,Found better service,2025-03-28
user_000051,-16,95.08,False,False,False,Low usage,2025-02-01
user_000052,89,8.4,False,False,False,Too expensive,2025-03-08
user_000053,-28,76.8,False,True,False,Technical issues,2025-02-24
user_000054,78,61.73,False,False,True,,
user_000055,2,62.17,False,False,False,Too expensive,2025-03-05
user_000056,48,30.61,False,False,True,Low usage,2025-02-09
user_000057,20,62.18,False,True,False,Found better service,2025-03-02
user_000058,25,93.18,False,True,False,Low usage,2025-02-11
user_000059,-9,26.62,False,False,True,Found better service,2025-02-12
user_000060,24,90.78,False,True,True,Found better service,2025-02-07
user_000061,-10,97.04,False,True,True,Technical issues,2025-03-19
user_000062,33,96.57,False,False,True,,
user_000063,18,72.56,False,True,False,Found better service,2025-03-13
user_000064,70,54.76,False,False,True,Technical issues,2025-03-15
user_000065,20,22.5,False,True,False,,
user_000066,67,58.07,False,True,False,Low usage,2025-02-26
user_000067,23,13.64,False,False,True,Found better service,2025-02-24
user_000068,34,84.87,False,False,True,Low usage,2025-02-24
user_000069,35,23.01,False,False,True,Low usage,2025-02-11
user_000070,30,81.67,False,False,True,,
user_000071,16,55.54,False,False,True,,
user_000072,69,7.2,False,True,False,Found better service,2025-02-28
user_000073,84,51.93,False,True,True,Low usage,2025-03-16
user_000074,98,34.21,False,False,False,Technical issues,2025-03-18
user_000075,-23,75.02,False,False,False,Technical issues,2025-02-12
user_000076,90,0.02,False,False,True,Found better service,2025-02-05
user_000077,8,91.58,False,True,True,Found better service,2025-03-18
user_000078,26,86.52,False,True,False,Found better service,2025-02-12
user_000079,-19,11.78,False,False,False,Low usage,2025-02-13
user_000080,54,56.94,False,False,False,Technical issues,2025-02-04
user_000081,31,31.12,False,True,False,Too expensive,2025-03-06
user_000082,67,77.49,False,False,True,Technical issues,2025-03-16
user_000083,40,83.14,False,False,True,Found better service,2025-02-21
user_000084,42,50.34,False,True,True,Found better service,2025-03-11
user_000085,-30,78.71,False,False,True,Technical issues,2025-02-06
user_000086,-7,45.58,False,True,False,Too expensive,2025-03-13
user_000087,-36,84.0,False,False,False,,
user_000088,-38,48.84,False,False,True,Too expensive,2025-03-26
user_000089,87,41.63,False,True,True,Too expensive,2025-02-08
user_000090,-12,13.72,False,True,False,,
user_000091,31,41.79,False,False,True,,
user_000092,89,65.38,False,False,False,Technical issues,2025-03-21
user_000093,29,96.72,False,True,False,Low usage,2025-03-08
user_000094,49,4.11,False,True,True,Too expensive,2025-03-29
user_000095,51,77.37,False,False,True,Technical issues,2025-03-20
user_000096,19,64.89,False,True,True,Low usage,2025-02-22
user_000097,-4,32.71,False,False,False,Technical issues,2025-01-31
user_000098,49,97.82,False,True,False,,
user_000099,37,6.33,False,True,True,,
user_000100,78,38.99,False,True,False,Too expensive,2025-02-11
user_000101,38,28.78,False,False,False,Low usage,2025-03-07
user_000102,109,77.92,False,True,True,Too expensive,2025-02-14
user_000103,5,79.79,True,False,True,Too expensive,2025-02-26
user_000104,46,6.58,False,True,True,Too expensive,2025-03-21
user_000105,78,44.29,False,False,True,Too expensive,2025-03-07
user_000106,15,56.5,False,True,False,Too expensive,2025-02-18
user_000107,42,51.35,False,True,False,Technical issues,2025-02-10
user_000108,13,97.48,False,False,True,,
user_000109,-28,79.95,False,False,False,Low usage,2025-03-10
user_000110,65,25.16,False,True,False,Found better service,2025-03-27
user_000111,78,32.08,False,False,False,Low usage,2025-02-13
user_000112,5,86.13,False,False,False,Too expensive,2025-03-08
user_000113,69,63.38,False,False,True,,
user_000114,67,82.34,False,False,True,Too expensive,2025-02-03
user_000115,-18,24.53,False,True,True,Technical issues,2025-03-08
user_000116,30,39.91,False,True,False,,
user_000117,-15,60.43,False,True,False,,
user_000118,-52,50.21,False,False,False,Technical issues,2025-02-07
user_000119,20,37.48,False,False,True,Too expensive,2025-01-31
user_000120,63,51.78,False,False,True,Low usage,2025-02-12
user_000121,66,94.04,False,True,True,Found better service,2025-02-20
user_000122,-15,11.16,False,True,True,Found better service,2025-02-05
user_000123,22,41.56,False,True,False,,
user_000124,27,38.5,False,False,False,Technical issues,2025-02-02
user_000125,33,48.79,False,True,False,Found better service,2025-02-05
user_000126,48,63.69,False,True,True,Found better service,2025-03-27
user_000127,31,0.34,False,False,False,Low usage,2025-02-04
user_000128,1,19.45,False,False,False,Low usage,2025-03-26
user_000129,87,79.66,False,False,False,Low usage,2025-02-12
user_000130,39,33.28,False,False,False,Low usage,2025-03-27
user_000131,23,89.73,False,False,False,,
user_000132,-21,70.45,False,False,True,,
user_000133,-11,49.16,False,True,True,Found better service,2025-03-07
user_000134,60,21.47,False,True,False,,
user_000135,44,69.17,False,False,True,Technical issues,2025-02-19
user_000136,51,50.98,False,True,False,Found better service,2025-03-28
user_000137,42,21.61,False,False,False,Technical issues,2025-02-27
user_000138,-2,91.42,False,False,False,Low usage,2025-03-29
user_000139,-12,92.72,False,True,False,Too expensive,2025-03-09
user_000140,30,83.91,False,False,False,Too expensive,2025-03-31
user_000141,29,90.27,False,True,True,,
user_000142,7,87.22,False,False,True,Found better service,2025-01-31
user_000143,70,9.85,False,False,False,Too expensive,2025-01-31
user_000144,101,47.39,False,True,False,,
user_000145,41,33.17,False,True,False,Low usage,2025-03-21
user_000146,81,67.23,False,False,False,Found better service,2025-02-02
user_000147,15,55.92,False,True,True,Low usage,2025-03-11
user_000148,92,78.9,False,True,False,Low usage,2025-03-27
user_000149,27,21.86,False,True,False,,
user_000150,29,85.94,False,False,True,Too expensive,2025-03-18
user_000151,75,73.96,False,True,True,Too expensive,2025-03-16
user_000152,39,48.86,False,False,True,Technical issues,2025-03-27
user_000153,-31,77.9,False,True,True,Technical issues,2025-02-04
user_000154,50,3.8,False,False,False,Low usage,2025-03-01
user_000155,-20,52.14,False,False,True,Low usage,2025-03-02
user_000156,85,12.02,False,True,True,,
user_000157,-37,47.78,False,True,True,Technical issues,2025-03-05
user_000158,20,23.5,False,True,False,Too expensive,2025-03-10
user_000159,58,62.54,False,False,False,Technical issues,2025-03-01
user_000160,-13,69.7,False,True,True,Low usage,2025-03-02
user_000161,88,81.16,False,True,False,Found better service,2025-02-05
user_000162,93,92.86,False,True,True,Found better service,2025-02-17
user_000163,6,14.15,False,False,False,Too expensive,2025-02-15
user_000164,22,90.16,False,False,True,Low usage,2025-03-06
user_000165,-47,33.15,False,False,True,Low usage,2025-02-25
user_000166,75,33.01,False,True,False,Low usage,2025-02-14
user_000167,33,98.03,False,True,True,,
user_000168,0,88.62,False,True,True,Found better service,2025-02-26
user_000169,71,53.14,False,True,True,,
user_000170,56,19.86,False,False,True,,
user_000171,-20,88.06,False,False,True,Technical issues,2025-03-24
user_000172,62,1.67,False,False,True,Low usage,2025-03-17
user_000173,58,2.45,False,False,False,Technical issues,2025-02-11
user_000174,-10,62.0,False,False,False,Technical issues,2025-02-05
user_000175,3,91.51,False,True,False,Found better service,2025-03-23
user_000176,23,87.05,False,False,False,,
user_000177,68,68.84,False,True,True,Found better service,2025-02-27
user_000178,44,24.35,False,True,True,,
user_000179,52,61.11,False,True,True,Found better service,2025-03-19
user_000180,23,70.29,False,True,False,Technical issues,2025-03-28
user_000181,12,35.62,False,True,True,Found better service,2025-03-11
user_000182,78,61.35,False,True,True,Too expensive,2025-03-30
user_000183,22,71.1,False,False,False,Found better service,2025-02-03
user_000184,64,47.17,False,True,False,Found better service,2025-02-04
user_000185,-29,17.06,False,True,False,Low usage,2025-02-23
user_000186,36,11.35,False,True,True,Low usage,2025-03-05
user_000187,-2,34.0,False,True,True,Too expensive,2025-03-31
user_000188,-18,76.74,False,True,False,,
user_000189,-1,88.46,False,True,True,Technical issues,2025-02-24
user_000190,70,28.52,False,False,False,Too expensive,2025-02-16
user_000191,13,28.99,False,False,True,Found better service,2025-02-25
user_000192,-20,50.19,False,False,True,Technical issues,2025-02-17
user_000193,43,45.66,False,True,True,Technical issues,2025-03-08
user_000194,-52,75.17,False,False,True,Low usage,2025-03-31
user_000195,38,83.04,False,False,False,Found better service,2025-03-10
user_000196,22,60.43,False,True,True,,
user_000197,95,18.4,False,False,True,,
user_000198,-45,18.68,False,True,True,,
user_000199,-12,67.67,False,True,True,Found better service,2025-02-22
user_000200,-3,90.36,False,False,True,Technical issues,2025-03-22
user_000201,14,0.41,False,False,True,,
user_000202,43,20.72,False,False,False,Technical issues,2025-03-17
user_000203,57,60.08,False,False,True,Low usage,2025-03-28
user_000204,86,26.42,False,False,True,Too expensive,2025-02-06
user_000205,4,19.34,False,True,False,Technical issues,2025-02-11
user_000206,62,15.17,False,True,False,Too expensive,2025-03-07
user_000207,9,24.76,False,True,False,Too expensive,2025-02-24
user_000208,18,22.57,False,True,True,,
user_000209,28,69.76,False,False,True,Low usage,2025-03-05
user_000210,32,0.25,False,True,True,Found better service,2025-03-25
user_000211,94,82.99,False,False,True,Too expensive,2025-03-23
user_000212,30,35.24,False,False,False,Low usage,2025-02-19
user_000213,4,41.68,False,True,False,Found better service,2025-02-08
user_000214,109,2.17,False,True,False,Found better service,2025-03-25
user_000215,72,39.96,False,False,True,Too expensive,2025-03-25
user_000216,59,80.01,False,False,False,,
user_000217,106,13.84,False,True,False,,
user_000218,58,43.22,False,True,False,Low usage,2025-02-04
user_000219,79,26.56,False,False,False,,
user_000220,71,38.6,False,True,False,Found better service,2025-02-21
user_000221,-26,68.75,False,False,False,Low usage,2025-02-24
user_000222,50,62.63,False,True,False,Too expensive,2025-02-19
user_000223,-39,39.38,False,False,False,Technical issues,2025-03-20
user_000224,28,14.6,False,False,False,Found better service,2025-02-05
user_000225,51,89.0,False,False,True,,
user_000226,65,35.43,False,True,True,Technical issues,2025-02-06
user_000227,-20,28.14,False,False,True,Too expensive,2025-02-27
user_000228,67,8.47,False,False,False,Too expensive,2025-02-24
user_000229,110,29.19,False,True,True,,
user_000230,-49,73.46,False,False,False,Found better service,2025-02-25
user_000231,58,52.16,False,True,False,Low usage,2025-02-23
user_000232,34,59.75,False,True,True,Low usage,2025-03-27
user_000233,92,94.75,False,True,False,Found better service,2025-03-12
user_000234,51,14.36,False,False,False,Found better service,2025-02-13
user_000235,70,17.74,False,True,True,Too expensive,2025-03-11
user_000236,47,11.76,False,True,True,Too expensive,2025-02-08
user_000237,24,60.43,False,True,True,Technical issues,2025-03-02
user_000238,72,43.45,False,False,True,Low usage,2025-02-09
user_000239,86,82.0,False,True,False,Too expensive,2025-03-01
user_000240,-39,49.39,False,True,False,,
user_000241,23,87.77,False,False,True,Found better service,2025-03-29
user_000242,19,59.58,False,False,False,Low usage,2025-03-02
user_000243,-32,35.97,False,True,False,Found better service,2025-03-30
user_000244,64,62.76,False,True,False,Technical issues,2025-02-02
user_000245,-6,2.25,False,True,True,Low usage,2025-03-12
user_000246,-3,58.88,False,False,True,Too expensive,2025-03-23
user_000247,49,97.7,False,False,False,Technical issues,2025-02-22
user_000248,-18,68.74,False,True,False,Technical issues,2025-03-04
user_000249,-13,32.58,False,True,True,Low usage,2025-03-10
user_000250,78,50.47,False,True,True,Too expensive,2025-03-31
user_000251,65,45.23,False,False,False,Low usage,2025-02-27
user_000252,45,62.39,False,True,False,Technical issues,2025-03-15
user_000253,-17,96.05,False,True,True,,
user_000254,72,13.36,False,True,True,,
user_000255,32,66.18,False,False,True,Found better service,2025-03-12
user_000256,-2,15.93,False,True,True,Found better service,2025-03-16
user_000257,-23,73.14,False,True,False,Low usage,2025-03-27
user_000258,44,61.71,False,True,True,,
user_000259,42,74.78,False,True,False,Technical issues,2025-02-21
user_000260,65,54.5,False,True,False,Too expensive,2025-02-12
user_000261,64,10.57,False,True,True,Technical issues,2025-02-08
user_000262,31,56.22,False,True,True,Too expensive,2025-03-19
user_000263,7,61.81,False,False,False,,
user_000264,31,86.57,False,False,True,,
user_000265,76,71.75,False,True,False,Technical issues,2025-02-23
user_000266,70,80.7,True,True,False,Found better service,2025-02-16
user_000267,43,66.7,False,True,False,,
user_000268,-4,74.95,False,False,False,Too expensive,2025-03-01
user_000269,6,95.91,False,True,True,Too expensive,2025-02-13
user_000270,-25,37.53,False,False,False,,
user_000271,23,93.96,False,False,False,Found better service,2025-03-13
user_000272,28,75.5,False,True,False,Technical issues,2025-03-18
user_000273,28,28.34,False,False,False,Technical issues,2025-02-10
user_000274,34,63.79,False,False,False,,
user_000275,24,66.75,False,False,True,Too expensive,2025-02-15
user_000276,64,11.95,False,True,False,Found better service,2025-03-15
user_000277,10,98.81,False,True,True,,
user_000278,1,83.71,False,True,True,Low usage,2025-03-06
user_000279,29,16.25,False,False,True,Found better service,2025-03-25
user_000280,-19,14.61,False,False,True,Too expensive,2025-02-28
user_000281,93,0.03,False,False,False,Technical issues,2025-02-01
user_000282,104,4.6,False,False,True,Low usage,2025-02-17
user_000283,-36,49.35,False,False,False,,
user_000284,99,86.08,False,False,True,Too expensive,2025-03-26
user_000285,-15,69.77,False,True,True,Low usage,2025-03-06
user_000286,1,58.74,False,False,False,,
user_000287,43,44.43,False,False,False,,
user_000288,15,90.91,False,False,True,,
user_000289,-1,38.69,False,True,True,Technical issues,2025-02-16
user_000290,-25,40.75,False,False,False,Found better service,2025-03-07
user_000291,34,81.0,False,True,False,Found better service,2025-03-09
user_000292,-6,77.73,False,False,False,Too expensive,2025-02-15
user_000293,63,14.84,False,False,False,Too expensive,2025-02-28
user_000294,-4,60.42,False,False,True,Found better service,2025-03-10
user_000295,41,14.74,False,False,False,Low usage,2025-03-03
user_000296,17,15.12,False,False,True,Low usage,2025-02-25
user_000297,82,91.77,False,False,True,Technical issues,2025-03-30
user_000298,16,20.9,False,False,True,,
user_000299,76,43.33,False,True,False,Technical issues,2025-01-31
user_000300,16,77.53,False,False,False,Too expensive,2025-01-31
user_000301,101,84.92,False,True,False,Low usage,2025-03-24
user_000302,114,74.13,False,False,True,Technical issues,2025-03-21
user_000303,49,50.23,False,True,True,Found better service,2025-03-01
user_000304,30,93.71,False,True,True,Low usage,2025-02-27
user_000305,27,67.86,False,False,True,,
user_000306,75,47.04,False,True,False,Low usage,2025-02-27
user_000307,72,37.08,False,False,True,Too expensive,2025-03-01
user_000308,34,37.95,False,True,False,,
user_000309,21,21.9,False,True,True,Found better service,2025-02-15
user_000310,64,70.91,True,False,False,Too expensive,2025-02-17
user_000311,25,7.22,False,True,True,Low usage,2025-02-01
user_000312,-11,26.88,False,True,True,Found better service,2025-03-28
user_000313,47,97.19,False,False,False,Technical issues,2025-03-25
user_000314,-47,20.87,False,False,False,Too expensive,2025-02-14
user_000315,76,2.51,False,True,True,Too expensive,2025-02-26
user_000316,9,39.53,False,False,True,,
user_000317,27,45.62,False,False,False,Found better service,2025-03-19
user_000318,34,5.99,False,True,False,Low usage,2025-03-22
user_000319,83,97.68,False,True,True,,
user_000320,36,39.21,False,False,False,Technical issues,2025-03-16
user_000321,35,43.16,False,False,False,,
user_000322,66,27.98,False,False,False,,
user_000323,-18,38.37,False,False,True,Low usage,2025-02-16
user_000324,78,66.7,False,True,True,Low usage,2025-03-23
user_000325,10,17.16,False,True,True,Technical issues,2025-03-21
user_000326,54,80.79,True,True,True,,
user_000327,-1,47.38,False,False,False,Low usage,2025-03-24
user_000328,54,50.16,False,True,True,Too expensive,2025-03-29
user_000329,22,27.27,False,True,True,,
user_000330,55,77.17,False,True,False,,
user_000331,66,67.89,False,True,True,,
user_000332,-2,46.25,False,False,False,,
user_000333,38,89.21,False,True,False,Technical issues,2025-02-08
user_000334,42,96.49,False,True,True,,
user_000335,75,31.67,False,True,False,Technical issues,2025-02-05
user_000336,89,62.34,False,False,True,Low usage,2025-02-08
user_000337,-38,9.19,False,False,False,Technical issues,2025-02-14
user_000338,24,7.95,False,True,False,Technical issues,2025-03-29
user_000339,-33,95.6,False,False,True,Technical issues,2025-02-13
user_000340,39,87.44,False,False,True,Low usage,2025-02-17
user_000341,58,16.91,False,False,True,Low usage,2025-02-09
user_000342,3,70.1,False,True,False,Too expensive,2025-02-25
user_000343,5,70.68,False,True,False,Technical issues,2025-02-02
user_000344,69,90.2,False,True,True,Low usage,2025-02-28
user_000345,-14,21.62,False,False,False,Technical issues,2025-02-28
user_000346,4,91.56,False,False,False,Found better service,2025-03-07
user_000347,75,65.39,False,True,False,Technical issues,2025-02-22
user_000348,58,19.85,False,True,True,Too expensive,2025-03-17
user_000349,63,73.5,False,True,False,Too expensive,2025-02-10
user_000350,36,2.94,False,False,False,Too expensive,2025-02-14
user_000351,0,21.69,False,False,True,,
user_000352,22,90.51,False,True,True,Technical issues,2025-02-02
user_000353,51,57.85,False,False,True,,
user_000354,91,52.53,False,True,False,Low usage,2025-02-05
user_000355,-43,80.27,False,True,True,,
user_000356,45,47.96,False,False,False,Found better service,2025-03-19
user_000357,-17,10.22,False,False,False,Low usage,2025-02-27
user_000358,63,55.75,False,True,True,Technical issues,2025-02-11
user_000359,25,63.77,False,True,False,Low usage,2025-02-20
user_000360,22,58.98,False,True,True,Technical issues,2025-02-09
user_000361,-9,80.39,False,True,False,Too expensive,2025-03-27
user_000362,18,96.41,False,False,False,Low usage,2025-03-17
user_000363,-5,25.36,False,True,True,Technical issues,2025-03-12
user_000364,105,17.06,False,True,True,Technical issues,2025-02-05
user_000365,24,59.94,False,True,True,Found better service,2025-02-17
user_000366,107,28.69,False,False,True,Found better service,2025-02-07
user_000367,83,87.21,False,True,False,,
user_000368,97,95.02,False,True,True,,
user_000369,62,27.61,False,False,True,Too expensive,2025-03-07
user_000370,64,91.65,False,False,True,Found better service,2025-03-15
user_000371,10,12.95,False,False,True,Found better service,2025-03-19
user_000372,82,24.46,False,True,True,Found better service,2025-03-15
user_000373,103,90.6,False,True,True,,
user_000374,24,48.05,False,True,False,Technical issues,2025-02-14
user_000375,2,67.68,False,False,False,,
user_000376,21,63.57,True,False,True,Low usage,2025-03-01
user_000377,20,77.14,False,True,False,,
user_000378,75,17.49,False,False,False,Technical issues,2025-03-28
user_000379,34,68.03,False,True,True,,
user_000380,-29,20.53,False,True,True,Found better service,2025-03-20
user_000381,30,80.18,False,False,True,Too expensive,2025-03-13
user_000382,24,25.36,False,True,True,,
user_000383,44,44.69,False,False,True,,
user_000384,85,78.06,False,False,False,Found better service,2025-02-19
user_000385,41,36.65,False,True,True,,
user_000386,58,53.31,False,True,True,Too expensive,2025-03-11
user_000387,10,79.25,False,False,True,,
user_000388,49,12.11,False,True,True,Technical issues,2025-03-22
user_000389,35,95.09,False,False,False,Too expensive,2025-02-24
user_000390,44,57.69,False,False,True,Low usage,2025-02-22
user_000391,-26,32.77,False,True,True,Found better service,2025-03-06
user_000392,24,1.24,False,False,True,Technical issues,2025-03-30
user_000393,1,1.12,False,False,False,,
user_000394,-38,53.79,False,False,False,Technical issues,2025-03-26
user_000395,48,50.91,False,True,False,Found better service,2025-03-22
user_000396,32,14.9,False,False,True,Low usage,2025-02-26
user_000397,50,1.68,False,True,False,,
user_000398,-4,67.47,False,True,False,Low usage,2025-03-27
user_000399,73,86.81,False,True,False,,
user_000400,33,94.53,False,True,False,,
user_000401,109,41.42,False,True,False,Low usage,2025-02-01
user_000402,-51,55.53,False,False,False,Too expensive,2025-03-26
user_000403,36,45.26,False,True,False,Found better service,2025-03-15
user_000404,-32,28.16,False,True,True,Too expensive,2025-02-06
user_000405,5,35.23,False,False,False,Too expensive,2025-03-31
user_000406,-15,63.29,False,True,False,,
user_000407,37,50.67,False,True,False,Found better service,2025-02-06
user_000408,71,35.87,False,False,True,Too expensive,2025-03-09
user_000409,48,79.3,False,True,True,Too expensive,2025-02-22
user_000410,64,75.04,False,True,True,Too expensive,2025-02-14
user_000411,9,89.06,False,False,True,Found better service,2025-03-23
user_000412,47,49.27,False,False,True,Too expensive,2025-02-16
user_000413,57,97.41,False,False,False,Too expensive,2025-02-13
user_000414,9,43.08,False,False,False,Found better service,2025-03-05
user_000415,6,78.82,False,False,False,,
user_000416,32,9.21,False,True,False,Too expensive,2025-03-12
user_000417,34,46.27,False,False,False,Found better service,2025-03-22
user_000418,50,85.31,False,False,False,Technical issues,2025-03-01
user_000419,68,54.8,False,True,False,Found better service,2025-03-21
user_000420,21,76.92,False,True,False,Technical issues,2025-03-05
user_000421,70,67.93,False,False,True,Technical issues,2025-03-04
user_000422,46,51.64,False,True,False,Low usage,2025-02-10
user_000423,39,33.85,False,True,True,Technical issues,2025-03-07
user_000424,79,95.95,False,True,True,Technical issues,2025-03-08
user_000425,5,2.76,False,False,True,,
user_000426,-33,30.61,False,True,True,Technical issues,2025-02-18
user_000427,58,58.34,False,False,False,Found better service,2025-02-14
user_000428,12,98.38,False,False,False,Technical issues,2025-02-23
user_000429,-20,86.39,False,False,False,Low usage,2025-02-03
user_000430,-3,97.55,False,False,False,Technical issues,2025-02-25
user_000431,30,46.29,False,False,False,Low usage,2025-02-06
user_000432,-37,62.96,False,False,True,Found better service,2025-03-24
user_000433,99,47.94,False,False,False,Found better service,2025-03-18
user_000434,74,49.84,False,True,True,Too expensive,2025-02-25
user_000435,31,70.01,False,True,False,Found better service,2025-02-11
user_000436,-14,77.55,False,False,False,,
user_000437,24,65.66,False,True,False,Technical issues,2025-02-02
user_000438,24,68.59,False,False,True,Low usage,2025-03-21
user_000439,39,33.97,True,True,True,Found better service,2025-03-24
user_000440,33,38.7,False,True,False,Found better service,2025-02-25
user_000441,-1,58.48,False,False,True,Low usage,2025-02-27
user_000442,-15,35.95,False,True,False,,
user_000443,15,18.3,False,True,False,Too expensive,2025-03-05
user_000444,20,72.71,False,False,False,Technical issues,2025-03-30
user_000445,-27,21.57,False,False,True,Too expensive,2025-02-05
user_000446,45,89.49,False,False,False,Too expensive,2025-02-26
user_000447,-14,59.42,False,False,False,Technical issues,2025-02-19
user_000448,-9,35.0,False,False,True,,
user_000449,61,57.11,False,False,False,,
user_000450,51,8.88,False,False,True,Found better service,2025-03-15
user_000451,-24,41.13,False,True,False,Technical issues,2025-02-06
user_000452,65,39.56,False,True,True,Low usage,2025-02-04
user_000453,46,81.45,False,False,True,Technical issues,2025-03-16
user_000454,-33,38.68,False,True,True,Technical issues,2025-02-12
user_000455,3,94.15,False,True,True,Too expensive,2025-03-19
user_000456,29,76.77,False,True,False,Low usage,2025-02-18
user_000457,31,82.44,False,True,True,Low usage,2025-03-10
user_000458,12,82.05,False,True,False,Too expensive,2025-03-10
user_000459,51,81.77,False,True,False,,
user_000460,28,50.6,False,False,True,Found better service,2025-03-10
user_000461,-7,8.27,False,True,False,Technical issues,2025-03-05
user_000462,61,85.61,False,False,False,Technical issues,2025-02-26
user_000463,33,25.69,False,False,True,Too expensive,2025-02-03
user_000464,66,11.6,False,True,True,Technical issues,2025-01-31
user_000465,38,7.8,False,False,False,Low usage,2025-03-31
user_000466,33,35.46,False,True,True,Low usage,2025-02-25
user_000467,67,39.9,False,False,True,,
user_000468,97,44.29,False,True,False,Too expensive,2025-02-03
user_000469,16,51.51,False,False,True,Found better service,2025-03-07
user_000470,75,4.85,False,False,False,Low usage,2025-03-08
user_000471,-1,56.91,False,False,True,Too expensive,2025-02-03
user_000472,110,16.53,False,True,True,Too expensive,2025-03-02
user_000473,24,30.98,False,False,False,Low usage,2025-03-18
user_000474,-36,35.03,False,True,True,Too expensive,2025-03-08
user_000475,-21,1.62,False,True,True,,
user_000476,-34,18.48,False,True,False,,
user_000477,-35,6.29,False,True,False,Low usage,2025-02-27
user_000478,18,10.89,False,False,False,Technical issues,2025-03-09
user_000479,-10,67.22,False,True,True,Low usage,2025-02-07
user_000480,76,95.19,False,False,True,Too expensive,2025-02-09
user_000481,37,78.86,False,False,False,Too expensive,2025-02-08
user_000482,35,96.44,False,False,True,Found better service,2025-02-15
user_000483,-6,23.5,False,False,False,Low usage,2025-03-08
user_000484,42,77.62,False,True,True,Found better service,2025-03-11
user_000485,12,29.13,False,True,True,Technical issues,2025-03-04
user_000486,29,83.13,False,False,False,Too expensive,2025-02-13
user_000487,50,54.81,False,False,True,Found better service,2025-02-22
user_000488,95,54.99,False,True,False,Too expensive,2025-01-31
user_000489,87,89.44,False,False,False,Technical issues,2025-03-07
user_000490,52,60.32,False,False,False,,
user_000491,85,61.85,False,True,True,,
user_000492,61,76.52,False,False,False,Technical issues,2025-02-24
user_000493,-20,74.38,False,False,False,,
user_000494,-32,0.71,False,True,False,Low usage,2025-03-14
user_000495,24,66.99,False,True,True,Technical issues,2025-03-18
user_000496,43,74.36,False,False,False,Found better service,2025-02-21
user_000497,35,61.09,False,True,False,,
user_000498,15,96.18,False,True,True,Too expensive,2025-03-24
user_000499,-48,91.7,False,False,True,Too expensive,2025-03-22
user_000500,-16,66.2,False,False,False,Low usage,2025-02-17
user_000501,9,79.35,False,False,True,Technical issues,2025-02-21
user_000502,60,76.53,False,False,True,,
user_000503,14,97.91,False,False,True,Technical issues,2025-03-15
